year,region,country,happiness_rank,happiness_score,social_support,health_life_expectancy,generosity,freedom_to_make_life_choices,economy_gdp_per_capita,perceptions_of_corruption
2017,Western Europe,Norway,1,7.53700017929077,1.53352355957031,0.796666502952576,0.36201223731041,0.635422587394714,1.61646318435669,0.315963834524155
2017,Western Europe,Denmark,2,7.52199983596802,1.55112159252167,0.792565524578094,0.355280488729477,0.626006722450256,1.48238301277161,0.40077006816864
2017,Western Europe,Iceland,3,7.50400018692017,1.6105740070343,0.833552122116089,0.475540220737457,0.627162635326385,1.480633020401,0.153526559472084
2017,Western Europe,Switzerland,4,7.49399995803833,1.51691174507141,0.858131289482117,0.290549278259277,0.620070576667786,1.56497955322266,0.367007285356522
2017,Western Europe,Finland,5,7.4689998626709,1.5402467250824,0.80915766954422,0.24548277258873,0.617950856685638,1.44357192516327,0.38261154294014
2017,Western Europe,Netherlands,6,7.3769998550415,1.42893922328949,0.810696125030518,0.470489829778671,0.585384488105774,1.50394463539124,0.282661825418472
2017,North America,Canada,7,7.31599998474121,1.48134899139404,0.83455765247345,0.435539722442627,0.611100912094116,1.47920441627502,0.287371516227722
2017,Australia and New Zealand,New Zealand,8,7.31400012969971,1.54819512367249,0.816759705543518,0.500005125999451,0.614062130451202,1.40570604801178,0.382816702127457
2017,Western Europe,Sweden,9,7.28399991989136,1.47816216945648,0.830875158309937,0.385399252176285,0.612924098968506,1.49438726902008,0.384398728609085
2017,Australia and New Zealand,Australia,10,7.28399991989136,1.51004195213318,0.84388679265976,0.477699249982834,0.601607382297516,1.484414935112,0.301183730363846
2017,Middle East and Northern Africa,Israel,11,7.21299982070923,1.37628996372223,0.83840399980545,0.330082654953003,0.405988603830338,1.37538242340088,0.0852421000599861
2017,Latin America and Caribbean,Costa Rica,12,7.0789999961853,1.41640365123749,0.759509265422821,0.214613229036331,0.580131649971008,1.10970628261566,0.100106589496136
2017,Western Europe,Austria,13,7.00600004196167,1.4599449634552,0.815328419208527,0.316472321748734,0.567766189575195,1.48709726333618,0.221060365438461
2017,North America,United States,14,6.99300003051758,1.41992056369781,0.77428662776947,0.392578780651093,0.505740523338318,1.54625928401947,0.135638788342476
2017,Western Europe,Ireland,15,6.97700023651123,1.55823111534119,0.80978262424469,0.42785832285881,0.573110342025757,1.53570663928986,0.29838815331459
2017,Western Europe,Germany,16,6.95100021362305,1.47252035140991,0.798950731754303,0.336269170045853,0.562511384487152,1.48792338371277,0.276731938123703
2017,Western Europe,Belgium,17,6.89099979400635,1.46231269836426,0.818091869354248,0.231503337621689,0.539770722389221,1.46378076076508,0.251343131065369
2017,Western Europe,Luxembourg,18,6.86299991607666,1.45758366584778,0.845089495182037,0.283180981874466,0.59662789106369,1.74194359779358,0.31883442401886
2017,Western Europe,United Kingdom,19,6.71400022506714,1.49646008014679,0.805335938930511,0.492774158716202,0.508190035820007,1.44163393974304,0.265428066253662
2017,Latin America and Caribbean,Chile,20,6.65199995040894,1.28402495384216,0.819479703903198,0.326662421226501,0.376895278692245,1.25278460979462,0.0822879821062088
2017,Middle East and Northern Africa,United Arab Emirates,21,6.64799976348877,1.26641023159027,0.726798236370087,0.3609419465065,0.60834527015686,1.62634336948395,0.324489563703537
2017,Latin America and Caribbean,Brazil,22,6.63500022888184,1.43130600452423,0.616552352905273,0.16234989464283,0.437453746795654,1.10735321044922,0.111092761158943
